Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;Interactive 3D-beginner;15 of 23;65;5.53;15 of 23;65;5.47;15 of 23;65;4.40;15 of 23;65;5.33;15 of 23;65;2.93;15 of 23;65;2.60;15 of 23;65;3.13;15 of 23;65;3.40;15 of 23;65;4.73;15 of 23;65;4.20;15 of 23;65;2.87
KDKM;Introduction to IT as a medium of communication;16 of 29;55;4.31;16 of 29;55;5.19;16 of 29;55;3.88;16 of 29;55;3.31;16 of 29;55;4.19;16 of 29;55;4.94;16 of 29;55;2.38;16 of 29;55;4.75;16 of 29;55;4.88;16 of 29;55;3.38;16 of 29;55;2.69
KDKM;Managing digital content production;6 of 16;37;4.83;6 of 16;37;4.83;6 of 16;37;4.83;6 of 16;37;5.00;6 of 16;37;3.00;6 of 16;37;3.50;6 of 16;37;3.33;6 of 16;37;4.17;6 of 16;37;4.83;6 of 16;37;3.00;6 of 16;37;2.50
KDKM;Operationel analysis of web behavior;9 of 18;50;5.22;9 of 18;50;4.78;9 of 18;50;5.00;9 of 18;50;5.33;9 of 18;50;2.89;9 of 18;50;3.44;9 of 18;50;4.22;9 of 18;50;4.11;9 of 18;50;4.89;9 of 18;50;3.44;9 of 18;50;2.67
KDKM;Text communication at the Internet;9 of 25;36;4.44;9 of 25;36;4.00;9 of 25;36;4.44;9 of 25;36;5.11;9 of 25;36;3.33;9 of 25;36;2.22;9 of 25;36;3.89;9 of 25;36;4.22;9 of 25;36;5.56;9 of 25;36;1.89;9 of 25;36;1.56
KDKM;User perspectives and the media of the future;9 of 30;30;3.22;9 of 30;30;2.78;9 of 30;30;4.44;9 of 30;30;4.33;9 of 30;30;3.00;9 of 30;30;1.44;9 of 30;30;5.44;9 of 30;30;2.44;9 of 30;30;4.89;9 of 30;30;3.00;9 of 30;30;2.56
KDKM;Virtuel worlds and spaces;5 of 19;26;5.80;5 of 19;26;5.60;5 of 19;26;4.60;5 of 19;26;4.20;5 of 19;26;2.20;5 of 19;26;4.80;5 of 19;26;2.00;5 of 19;26;5.40;5 of 19;26;5.20;5 of 19;26;3.80;5 of 19;26;3.00
KEBUSS;B1 Taktiske og strategiske værktøjer til e-business;18 of 40;45;5.22;18 of 40;45;4.67;18 of 40;45;5.50;18 of 40;45;4.72;18 of 40;45;4.67;18 of 40;45;4.61;18 of 40;45;2.67;18 of 40;45;4.72;18 of 40;45;4.72;18 of 40;45;3.56;18 of 40;45;2.78
KEBUSS;B10 Videnskabteori og e-handel;3 of 10;30;4.67;3 of 10;30;4.33;3 of 10;30;5.00;3 of 10;30;2.67;3 of 10;30;2.67;3 of 10;30;5.67;3 of 10;30;2.67;3 of 10;30;5.00;3 of 10;30;5.33;3 of 10;30;3.00;3 of 10;30;2.00
KEBUSS;B6 IT innovation og virksomhedsopstart;6 of 22;27;5.33;6 of 22;27;5.00;6 of 22;27;5.00;6 of 22;27;3.83;6 of 22;27;5.00;6 of 22;27;5.33;6 of 22;27;1.83;6 of 22;27;5.67;6 of 22;27;4.50;6 of 22;27;3.83;6 of 22;27;3.50
KEBUSS;B8 IT Project management;8 of 23;34;4.75;8 of 23;34;3.75;8 of 23;34;5.38;8 of 23;34;5.38;8 of 23;34;2.88;8 of 23;34;3.50;8 of 23;34;4.25;8 of 23;34;3.88;8 of 23;34;4.62;8 of 23;34;3.88;8 of 23;34;3.12
KEBUSS;B9 Knowledge Management;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;B9 Knowledge Management;23 of 36;63;5.00;23 of 36;63;4.26;23 of 36;63;4.74;23 of 36;63;3.39;23 of 36;63;4.61;23 of 36;63;4.26;23 of 36;63;3.74;23 of 36;63;4.87;23 of 36;63;4.96;23 of 36;63;3.04;23 of 36;63;2.65
KEBUSS;Digital Marketing;10 of 15;66;4.40;10 of 15;66;4.80;10 of 15;66;5.00;10 of 15;66;4.90;10 of 15;66;3.60;10 of 15;66;3.70;10 of 15;66;4.10;10 of 15;66;5.10;10 of 15;66;5.20;10 of 15;66;4.60;10 of 15;66;4.30
KEBUSS;E-commerce - markets and business models;5 of 12;41;5.20;5 of 12;41;5.20;5 of 12;41;5.40;5 of 12;41;4.00;5 of 12;41;4.80;5 of 12;41;4.40;5 of 12;41;4.20;5 of 12;41;5.20;5 of 12;41;5.00;5 of 12;41;3.60;5 of 12;41;3.40
